label,hdate,hdate_end,description,abbreviation,url
Qatar 2022: ARG,20 November 2022,18 December 2022,Argentina 3-3 France aet Pens 4-3,ARG,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup
Russia 2018: FRA,14 June 2018,15 July 2018,France 4-2 Croatia,FRA,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup
Brazil 2014: GER,12 June 2014,13 July 2014,Germany 1-0 Argentina aet,GER,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup
South Africa 2010: ESP,11 June 2010,11 July 2010,Spain 1-0 Netherlands aet,ESP,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup
Germany 2006: ITA,9 June 2006,9 July 2006,Italy 1-1 France aet Pens 5-3,ITA,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup
Korea/Japan 2002: BRA,31 May 2002,30 June 2002,Brazil 2-0 Germany,BRA,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup
France 1998: FRA,10 June 1998,12 July 1998,France 3-0 Brazil,FRA,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
USA 1994: BRA,17 June 1994,17 July 1994,Brazil 0-0 Italy aet Pens 3-2,BRA,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
