abbreviation,team,colour
ARG,Argentina,#43A1D5 
BRA,Brazil,#19AE47 
DEN,Denmark,#CD181E 
FRA,France,#21304D 
GER,Germany,#000000 
GRE,Greece,#0D5EAF 
ITA,Italy,#103cd6
POR,Portugal,#E42518 
ESP,Spain,#8B0D11 
