label,hdate,hdate_end,approx_year,description,url,max_xrange_years
Wind Turbine,1883,,1883,,https://en.wikipedia.org/wiki/Wind_turbine#History,100
Modern Steam Turbine,1884,,1884,,https://en.wikipedia.org/wiki/Steam_turbine#History,100
AC Power Distribution,1884,,1884,,https://en.wikipedia.org/wiki/Alternating_current#Pioneers,200
Dry Cell Battery,1886,,1886,,https://en.wikipedia.org/wiki/Dry_cell#History,150
Petrol-powered Car,1886,,1886,,https://en.wikipedia.org/wiki/Carl_Benz#Benz_and_Cie._and_the_Benz_Patent-Motorwagen,
Bayer Process,1887,,1887,,https://en.wikipedia.org/wiki/Bayer_process#History,100
Ballpoint Pen,1888,,1888,,https://en.wikipedia.org/wiki/Ballpoint_pen,100
Pneumatic Tyre,1892,,1892,,https://en.wikipedia.org/wiki/Tire#History,200
Electric Oven,1892,,1892,,https://en.wikipedia.org/wiki/Electric_stove,150
Diesel Engine,1892,,1892,,https://en.wikipedia.org/wiki/Diesel_engine#History,200
Wireless Telegraphy,Between 1894 and 1895,,1894,Wireless Telegraphy (Marconi),https://en.wikipedia.org/wiki/Wireless_telegraphy,
Polyethylene,1898,,1898,,https://en.wikipedia.org/wiki/Polyethylene,150
Nickel Cadmium Battery,1899,,1899,,https://en.wikipedia.org/wiki/Nickel%E2%80%93cadmium_battery#History,150
Television,1901,,1901,,https://en.wikipedia.org/wiki/Television#History,
Gas Turbine,1903,,1903,,https://en.wikipedia.org/wiki/Gas_turbine#Timeline_of_development,150
Powered Flight,17 Dec 1903,,1903,,https://en.wikipedia.org/wiki/Wright_brothers,
Military Tanks,1915,,1915,,https://en.wikipedia.org/wiki/Tank#World_War_I,200
Quartz Clock,Oct 1927,,1927,,https://en.wikipedia.org/wiki/Quartz_clock#History,200
Electron Microscope,Between 1928 and 1931,,1931,,https://en.wikipedia.org/wiki/Electron_microscope,200
Jet Engine,Between 1928 and 1932,,1932,Jet Engine (Whittle),https://en.wikipedia.org/wiki/Frank_Whittle,
FM Radio,1933,,1933,,https://en.wikipedia.org/wiki/FM_broadcasting,200
V2 Rocket,1942,,1942,,https://en.wikipedia.org/wiki/V-2_rocket,
Atomic Bomb,6 Aug 1945,,1945,,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,
Microwave Oven,1945,,1945,,https://en.wikipedia.org/wiki/Microwave_oven#Discovery,150
Fracking,1947,,1947,,https://en.wikipedia.org/wiki/Fracking#History,150
Transistor,1947,,1947,,https://en.wikipedia.org/wiki/Transistor#History,
Video Recorder,Between Nov 1951 and 1953,,1951,,https://en.wikipedia.org/wiki/Video_tape_recorder#History,200
Float Glass Process,Between 1952 and 1957,,1952,,https://en.wikipedia.org/wiki/Float_glass,100
Shipping Container,1955,,1955,,https://en.wikipedia.org/wiki/Intermodal_container#Mid_20th_century_innovations,100
Hard Disk,1956,,1956,,https://en.wikipedia.org/wiki/Hard_disk_drive#History,150
Artificial Satellite,4 Oct 1957,,1957,,https://en.wikipedia.org/wiki/Sputnik_1,
