label,hdate_birth,hdate_death,url
William Shakespeare,apr 1564,23 apr 1616,https://en.wikipedia.org/wiki/William_Shakespeare
Caryl Churchill,3 sep 1938,,https://en.wikipedia.org/wiki/Caryl_Churchill
