label,description,hdate,hdate_end,hdate_birth,hdate_death,colour,url
Emily Brontë,,,,30 July 1818,19 December 1848,,https://en.wikipedia.org/wiki/Emily_Bront%C3%AB
Miss Wooler’s School,"Miss Wooler’s School, Roe Head (pupil)",29 Jul 1835,Oct 1835,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Miss_Wooler's_school
Poems published,Poems published (authored by all three sisters),1846,,,,,"https://en.wikipedia.org/wiki/Bront%C3%AB_family#First_publication:_Poems,_by_Currer,_Ellis,_and_Acton_Bell"
Wuthering Heights published,,1847,,,,,https://en.wikipedia.org/wiki/Wuthering_Heights
Cowan Bridge School,Cowan Bridge School (Four eldest girls),Aug 1824,1825,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Cowan_Bridge_School
Law Hill School,Law Hill School (teacher),Sep 1838,Apr 1839,,,,https://en.wikipedia.org/wiki/Emily_Bront%C3%AB#Adulthood
Constantin Héger school,"Attended Constantin Héger school,Brussels",1842,1844,,,,https://en.wikipedia.org/wiki/Emily_Bront%C3%AB#Adulthood
