label,description,hdate,hdate_end,hdate_birth,hdate_death,colour,url
Anne Brontë,,,,17 January 1820,28 May 1849,,https://en.wikipedia.org/wiki/Anne_Bront%C3%AB
Miss Wooler’s School,"Miss Wooler’s School, Roe Head (pupil)",Oct 1835,Dec 1837,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Miss_Wooler's_school
Agnes Grey published,,Dec 1847,,,,,https://en.wikipedia.org/wiki/Agnes_Grey
The Tenant of Wildfell Hall published,,1848,,,,,https://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall
Poems published,Poems published (authored by all three sisters),1846,,,,,"https://en.wikipedia.org/wiki/Bront%C3%AB_family#First_publication:_Poems,_by_Currer,_Ellis,_and_Acton_Bell"
Governess,Governess at Blake Hall,Apr 1839,Dec 1839,,,,https://en.wikipedia.org/wiki/Anne_Bront%C3%AB#Employment_at_Blake_Hall
Governess,Governess at Thorp Green Hall,1840,Jun 1846,,,,https://en.wikipedia.org/wiki/Anne_Bront%C3%AB#Governess
